Аты кыргызча	Аты орусча	Аты англисче
Австралия	Австралия	Australia
Австрия	Австрия	Austria
Азербайжан	Азербайджан	Azerbaijan
Албания	Албания	Albania
Алжир	Алжир	Algeria
Америка Кошмо Штаттары	Соединенные Штаты	United States of America
Америкалык Самоа	Американское Самоа	American Samoa
Ангилья	Ангилья	Anguilla
Ангола	Ангола	Angola
Андорра	Андорра	Andorra
Антигуа жана Барбуда	Антигуа и Барбуда	Antigua and Barbuda
Аргентина	Аргентина	Argentina
Армения	Армения	Armenia
Ооганстан	Афганистан	Afghanistan
Багама аралдары	Багамские острова	Bahamas
Бангладеш	Бангладеш	Bangladesh
Бахрейн	Бахрейн	Bahrain
Беларусь	Беларусь	Belarus
Белиз	Белиз	Belize
Бельгия	Бельгия	Belgium
Бенин	Бенин	Benin
Бириккен Араб Эмираттары	Объединенные Арабские Эмираты	United Arab Emirates
Болгария	Болгария	Bulgaria
Боливия	Боливия	Bolivia
Борбордук Африка Республикасы	Центрально-Африканская Республика	Central African Republic
Босния жана Герцеговина	Босния и Герцеговина	Bosnia and Herzegovina
Ботсвана	Ботсвана	Botswana
Бразилия	Бразилия	Brazil
Бруней	Бруней	Brunei
Буркина-Фасо	Буркина-Фасо	Burkina Faso
Бурунди	Бурунди	Burundi
Бутан	Бутан	Bhutan
Вануату	Вануату	Vanuatu
Венгрия	Венгрия	Hungary
Венесуэла	Венесуэла	Venezuela
Виргин аралдары (АКШ)	Виргинские острова (США)	Virgin Islands (US)
Виргин аралдары (Британия)	Виргинские острова (Британские)	Virgin Islands (British)
Вьетнам	Вьетнам	Vietnam
Габон	Габон	Gabon
Гаити	Гаити	Haiti
Гайана	Гайана	Guyana
Гамбия	Гамбия	Gambia
Гана	Гана	Ghana
Гватемала	Гватемала	Guatemala
Германия	Германия	Germany
Гернси	Гернси	Guernsey
Гибралтар	Гибралтар	Gibraltar
Гондурас	Гондурас	Honduras
Гонконг	Гонконг	Hong Kong
Гренландия	Гренландия	Greenland
Греция	Греция	Greece
Грузия	Грузия	Georgia
Дания	Дания	Denmark
Джибути	Джибути	Djibouti
Доминика	Доминика	Dominica
Доминика Республикасы	Доминиканская Республика	Dominican Republic
Египет	Египет	Egyptian
Жаңы Зеландия	Новая Зеландия	New Zealand
Жапония	Япония	Japan
Жерси	Джерси	Jersey
Замбия	Замбия	Zambia
Зимбабве	Зимбабве	Zimbabwe
Израиль	Израиль	Israel
Индия	Индия	India
Индонезия	Индонезия	Indonesia
Иордания	Иордания	Jordan
Ирак	Ирак	Iraq
Ирландия	Ирландия	Ireland
Исландия	Исландия	Iceland
Испания	Испания	Spain
Италия	Италия	Italy
Кабо-Верде	Кабо-Верде	Cape Verde
Казакстан	Казахстан	Kazakhstan
Камбоджа	Камбоджа	Cambodia
Камерун	Камерун	Cameroon
Канада	Канада	Canada
Катар	Катар	Qatar
Кения	Кения	Kenya
Кипр	Кипр	Cyprus
Кирибати	Кирибати	Kiribati
Колумбия	Колумбия	Colombia
Конго-Браззавил	Конго-Браззавиль	Congo-Brazzaville
Конго-Киншаса	Конго-Киншаса	Congo-Kinshasa
Коста-Рика	Коста-Рика	Costa Rica
Кот-д’Ивуар	Берег Слоновой Кости	Cote d'Ivoire
Куба	Куба	Cuba
Кувейт	Кувейт	Kuwait
Кук аралдары	Острова Кука	Cook Islands
Кыргызстан	Кыргызстан	Kyrgyzstan
Кытай Китай China
Лаос	Лаос	Laos
Латвия	Латвия	Latvia
Лесото	Лесото	Lesotho
Ливан	Ливан	Lebanon
Ливия	Ливия	Libya
Литва	Литва	Lithuania
Лихтенштейн	Лихтенштейн	Liechtenstein
Люксембург	Люксембург	Luxembourg
Маврикий	Маврикий	Mauritius
Мадагаскар	Мадагаскар	Madagascar
Малави	Малави	Malawi
Малайзия	Малайзия	Malaysia
